image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0216,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,7,5,2,0.4,0.2857142857142857,0.3333333333333333,0.0249089028423123
akd_0216,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,7,4,1,0.25,0.14285714285714285,0.18181818181818182,0.049621689832765686
akd_0216,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,7,5,3,0.6,0.42857142857142855,0.5,0.023433263976436657
akd_0216,728,last,feature_hdbscan_medoid,0.0,translate,geometric,7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.023918256233395337
akd_0216,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,7,5,3,0.6,0.42857142857142855,0.5,0.0
akd_0355,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,3,5,0,0.0,0.0,0.0,nan
akd_0355,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,3,3,0,0.0,0.0,0.0,nan
akd_0355,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,3,5,2,0.4,0.6666666666666666,0.5,0.01445586924146938
akd_0355,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,3,5,1,0.2,0.3333333333333333,0.25,0.0036079723993594943
akd_0355,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,3,4,0,0.0,0.0,0.0,nan
akd_0355,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,3,5,1,0.2,0.3333333333333333,0.25,0.014549738522258176
akd_0355,728,last,feature_hdbscan_medoid,0.0,translate,geometric,3,4,0,0.0,0.0,0.0,nan
akd_0355,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,3,5,1,0.2,0.3333333333333333,0.25,0.0
akd_0327,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,2,9,0,0.0,0.0,0.0,nan
akd_0327,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,2,2,0,0.0,0.0,0.0,nan
akd_0327,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,2,2,2,1.0,1.0,1.0,0.0
akd_0327,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,2,2,0,0.0,0.0,0.0,nan
akd_0327,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,2,8,0,0.0,0.0,0.0,nan
akd_0327,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,2,4,2,0.5,1.0,0.6666666666666666,0.03271217126200709
akd_0327,728,last,feature_hdbscan_medoid,0.0,translate,geometric,2,2,0,0.0,0.0,0.0,nan
akd_0327,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,2,3,1,0.3333333333333333,0.5,0.4,0.0
akd_0235,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.01430772582551174
akd_0235,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,5,4,1,0.25,0.2,0.22222222222222224,0.01270326655636254
akd_0235,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,5,5,4,0.8,0.8,0.8000000000000002,0.0
akd_0235,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,5,4,1,0.25,0.2,0.22222222222222224,0.028722205738480038
akd_0235,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,5,4,2,0.5,0.4,0.4444444444444445,0.017564137762152765
